lfdn;problem;response
1331;Moving targets (changing goals, business processes and / or requirements);Postponement of discussions, changes of the directors/board involved, aspects not considered or ignored by the client
1349;Moving targets (changing goals, business processes and / or requirements);Client changes his opinion
1351;Moving targets (changing goals, business processes and / or requirements);Technical language used by the two parties
1402;Moving targets (changing goals, business processes and / or requirements);Rapidly evolving target market
1406;Moving targets (changing goals, business processes and / or requirements);Late / no commitment
1441;Moving targets (changing goals, business processes and / or requirements);fast changing world, starting project without clear goals
1454;Moving targets (changing goals, business processes and / or requirements);Poor support by project responsible
1455;Moving targets (changing goals, business processes and / or requirements);The technological terminology is unknown
1459;Moving targets (changing goals, business processes and / or requirements);Customer does not know what he/she wants
1466;Moving targets (changing goals, business processes and / or requirements);Senior management forcing priority shifts mid-project (i.e.  drop everything and do this ).
1467;Moving targets (changing goals, business processes and / or requirements);insufficient discussion with customers on initial requirements/goals
1486;Moving targets (changing goals, business processes and / or requirements);Innovative projects with unknown solutions means shifting focus and searching for answers, not work towards a predefined explicit goal.
1651;Moving targets (changing goals, business processes and / or requirements);Multi-regional dependencies across multiple projects
1675;Moving targets (changing goals, business processes and / or requirements);Insufficient research in to the problem being solved
1703;Moving targets (changing goals, business processes and / or requirements);Improper elicitation causes too many unexpected changes
1741;Moving targets (changing goals, business processes and / or requirements);Changes in laws
1742;Moving targets (changing goals, business processes and / or requirements);lacks in customer understanding how changes impacts project regarding economics, planning resources
1753;Moving targets (changing goals, business processes and / or requirements);Our technical world is changing. In our case its available bandwidth in telecom networks, more routers between nodes, mor capable endpoints (smartphones, tablets), and changing usecases (like streaming media, netflix...)
1761;Moving targets (changing goals, business processes and / or requirements);Technical uncertainty 
1762;Moving targets (changing goals, business processes and / or requirements);Changing the plan because financial difficulties
1767;Moving targets (changing goals, business processes and / or requirements);Customer is not fully aware of what they want neither is project team
1805;Moving targets (changing goals, business processes and / or requirements);Customer not clear about what they want until they see the result
1820;Moving targets (changing goals, business processes and / or requirements);mismanagement
1840;Moving targets (changing goals, business processes and / or requirements);The regulations is changing and intrepreted differently depending on who is reading it
1894;Moving targets (changing goals, business processes and / or requirements);Multiple projects happening and fighting for priorities, funding, technical resources. etc.
1896;Moving targets (changing goals, business processes and / or requirements);"Feature creep;Small workforce"
1909;Moving targets (changing goals, business processes and / or requirements);Lack of methodology
1918;Moving targets (changing goals, business processes and / or requirements);Changes in company strategy.
1923;Moving targets (changing goals, business processes and / or requirements);"Many stakeholders involved; The customer does not analyze the high level requirements"
1965;Moving targets (changing goals, business processes and / or requirements);Dynamic market
41;Stakeholders with difficulties in separating requirements from previously known solution designs;We are basing our project off of another app that we have used, but we are trying to make it better - this makes it difficult to see our innovation as the customers are used to the old apps
48;Stakeholders with difficulties in separating requirements from previously known solution designs;If requirements are too vague, developer often implement changes by going off own ideas
76;Stakeholders with difficulties in separating requirements from previously known solution designs;Typical behaviour/issue. 
91;Stakeholders with difficulties in separating requirements from previously known solution designs;don't know
114;Stakeholders with difficulties in separating requirements from previously known solution designs;requirements with similar content on all levels
120;Stakeholders with difficulties in separating requirements from previously known solution designs;Reuse approach
141;Stakeholders with difficulties in separating requirements from previously known solution designs;"varying degrees of domain experience; no direct access to SMEs"
144;Stakeholders with difficulties in separating requirements from previously known solution designs;many times a solution has been selected before we are engaged (though it may not be the best solution for the problem), and then we are constrained by this
149;Stakeholders with difficulties in separating requirements from previously known solution designs;It is easyer to discuss solutions (how), instead of the needs (what)
160;Stakeholders with difficulties in separating requirements from previously known solution designs;"missing methodology knowledge; problems to abstract problems"
167;Stakeholders with difficulties in separating requirements from previously known solution designs;Competence
205;Stakeholders with difficulties in separating requirements from previously known solution designs;"Influenced by  salesmen  before fully defining requirements; egos"
208;Stakeholders with difficulties in separating requirements from previously known solution designs;"legacy software was used more than 20 years without updates;they don't want to know  modern  ways of doing things"
217;Stakeholders with difficulties in separating requirements from previously known solution designs;poor communication
313;Stakeholders with difficulties in separating requirements from previously known solution designs;To meet timelines we have to reuse existing software to meet new customer requirements.  Not everyone understands that the customer expects a bespoke solution, we cannot force them to accept what we have available off the shelf.
332;Stakeholders with difficulties in separating requirements from previously known solution designs;Stakeholders already went through an entire problem solving process prior to the first moment we got involved
370;Stakeholders with difficulties in separating requirements from previously known solution designs;no deeper knowledge on the systems used
384;Stakeholders with difficulties in separating requirements from previously known solution designs;"customer expects new application to work like 25 year old legacy system; cannot adjust to different technology;"
393;Stakeholders with difficulties in separating requirements from previously known solution designs;"no goal modelling; no external analysis"
442;Stakeholders with difficulties in separating requirements from previously known solution designs;business areas imagine solutions as an evolution of what they know
446;Stakeholders with difficulties in separating requirements from previously known solution designs;frustration
482;Stakeholders with difficulties in separating requirements from previously known solution designs;Less clarity on enhancements 
525;Stakeholders with difficulties in separating requirements from previously known solution designs;Not willing to think  outside the box 
586;Stakeholders with difficulties in separating requirements from previously known solution designs;It´s always eay to compare and try to fit things to already known values etc
649;Stakeholders with difficulties in separating requirements from previously known solution designs;legacy applications
723;Stakeholders with difficulties in separating requirements from previously known solution designs;Stakeholders' will are different
729;Stakeholders with difficulties in separating requirements from previously known solution designs;The client went to work with spreadsheets to start working with a system, leading to some users (did not occur in all cases), to try to reproduce the forms instead of looking for the best solution
819;Stakeholders with difficulties in separating requirements from previously known solution designs;Client does not want to get rid of old systems
847;Stakeholders with difficulties in separating requirements from previously known solution designs;Stakeholders wanting to design solutions rather than specify problems 
849;Stakeholders with difficulties in separating requirements from previously known solution designs;client wants the new version has it that the first version had the new features +
851;Stakeholders with difficulties in separating requirements from previously known solution designs;It is difficult to draw the end user of their status quo
864;Stakeholders with difficulties in separating requirements from previously known solution designs;Poor involvement in the project
870;Stakeholders with difficulties in separating requirements from previously known solution designs;Lack of guidance needed
879;Stakeholders with difficulties in separating requirements from previously known solution designs;Stakeholders with limited focus on the solution.
900;Stakeholders with difficulties in separating requirements from previously known solution designs;Sometimes there are inconsistencies with previous requirements, which also originate goals changes
901;Stakeholders with difficulties in separating requirements from previously known solution designs;very large product, causing this difficulty
912;Stakeholders with difficulties in separating requirements from previously known solution designs;Can lead to some very heated conversations if the customer is unused to thinking about user stories
921;Stakeholders with difficulties in separating requirements from previously known solution designs;Has requirements versioning.
928;Stakeholders with difficulties in separating requirements from previously known solution designs;Lack of support in changing the culture of the production process of the company by top management.
930;Stakeholders with difficulties in separating requirements from previously known solution designs;The client tries to define the solution based on the known and not based on what is best
958;Stakeholders with difficulties in separating requirements from previously known solution designs;"Too many managers; geographically distant managers, Managers with different local realities."
997;Stakeholders with difficulties in separating requirements from previously known solution designs;It is an evolution of an existing product
1017;Stakeholders with difficulties in separating requirements from previously known solution designs;human nature
1055;Stakeholders with difficulties in separating requirements from previously known solution designs;users not used to highly automated solutions
1065;Stakeholders with difficulties in separating requirements from previously known solution designs;Stakeholders missed to make requirements
1066;Stakeholders with difficulties in separating requirements from previously known solution designs;stakeholders want requirements reverse engineered from other projects that may not be fit for purpose
1069;Stakeholders with difficulties in separating requirements from previously known solution designs;Don't like changing
1079;Stakeholders with difficulties in separating requirements from previously known solution designs;Relationship between customer managers and end users of the customer
1082;Stakeholders with difficulties in separating requirements from previously known solution designs;Look for previous solutions that did not meet the needs to point to resources  to the new(solutions)
1097;Stakeholders with difficulties in separating requirements from previously known solution designs;Attachment to the legacy system
1105;Stakeholders with difficulties in separating requirements from previously known solution designs;Users want everything
1124;Stakeholders with difficulties in separating requirements from previously known solution designs;Current culture deeply rooted and arrogante.
1141;Stakeholders with difficulties in separating requirements from previously known solution designs;missing domain know how
1161;Stakeholders with difficulties in separating requirements from previously known solution designs;There is the believed that processes are easy or similar, which in reality are technically very different
1207;Stakeholders with difficulties in separating requirements from previously known solution designs;people asking for specific solutions and not able to describe problems they are having
1266;Stakeholders with difficulties in separating requirements from previously known solution designs;Vices of the operation, the process and the key people for the business.
1316;Stakeholders with difficulties in separating requirements from previously known solution designs;in deep knowledge about product and it's usage
1331;Stakeholders with difficulties in separating requirements from previously known solution designs;Attachment to the previous solution, inability to share knowledge, personal inability
1340;Stakeholders with difficulties in separating requirements from previously known solution designs;Poorly planned REQUIREMENTS
1347;Stakeholders with difficulties in separating requirements from previously known solution designs;Product with many years of existence and people with many years of service
1349;Stakeholders with difficulties in separating requirements from previously known solution designs;CUSTOMER DOES NOT DETACH HIMSELF FROM EXISTING SOLITIONS / RESISTANCE TO CHANGE
1352;Stakeholders with difficulties in separating requirements from previously known solution designs;Lack of adequate communication
1357;Stakeholders with difficulties in separating requirements from previously known solution designs;Poor time planning
1384;Stakeholders with difficulties in separating requirements from previously known solution designs;Different problems must focus on different aspects. A query from the web should focus on performance, and other less crowded on disk space. Not to differentiate these solutions leads to want simple solutions that lower perfoman
1424;Stakeholders with difficulties in separating requirements from previously known solution designs;Portabiity of security
1433;Stakeholders with difficulties in separating requirements from previously known solution designs;LACK OF KNOWLEDGE
1457;Stakeholders with difficulties in separating requirements from previously known solution designs;Clients are not clear that they need
1462;Stakeholders with difficulties in separating requirements from previously known solution designs;Customer centered in solutions previously known
1560;Stakeholders with difficulties in separating requirements from previously known solution designs;Long history within company resulting in staff holding to how it was done in the past
1618;Stakeholders with difficulties in separating requirements from previously known solution designs;This results in having the same discussions discussing pros and cons of solutions
1621;Stakeholders with difficulties in separating requirements from previously known solution designs;Specifying requirements with  it should work like this product 
1624;Stakeholders with difficulties in separating requirements from previously known solution designs;radical changes need changes done in smaller increments with POCs there have been instances where the projects were scrapped
1650;Stakeholders with difficulties in separating requirements from previously known solution designs;Stakeholder education
1651;Stakeholders with difficulties in separating requirements from previously known solution designs;Lack of understanding of the challenges within the problem domain ie. its more complicated than appears
1668;Stakeholders with difficulties in separating requirements from previously known solution designs;Difficult to quantify
1670;Stakeholders with difficulties in separating requirements from previously known solution designs;Difficult to quantify
1705;Stakeholders with difficulties in separating requirements from previously known solution designs;Lack of knowledge by the user
1756;Stakeholders with difficulties in separating requirements from previously known solution designs;People and organizations tend to follow familiar patterns. It's sometimes difficult to even make them understand there are other ways of doing things, let alone assessing and perhaps recognizing they may be better
1894;Stakeholders with difficulties in separating requirements from previously known solution designs;conflicting interests between stakeholders, which is normal in large organizations and needs to be managed
1896;Stakeholders with difficulties in separating requirements from previously known solution designs;Stakeholders non tech-savvy
1918;Stakeholders with difficulties in separating requirements from previously known solution designs;Stakeholder focus on their specific problems.
1923;Stakeholders with difficulties in separating requirements from previously known solution designs;Lack of training
1962;Stakeholders with difficulties in separating requirements from previously known solution designs;"natural tendency to bet on past solutions rather than innovate new bets;"
1969;Stakeholders with difficulties in separating requirements from previously known solution designs;Unwillingness to re-engineer business processes in the contects of new technology.
81;Technically unfeasible requirements;Customer over-expectations
120;Technically unfeasible requirements;Lack of technical studies
144;Technically unfeasible requirements;Anything seems feasible, but technical implementation may be extremely difficult, and engineers tend to underestimate the effort it will take to accomplish something
188;Technically unfeasible requirements;The want to copy specific features from other products that can not fit in the current System Infrastructure.
208;Technically unfeasible requirements;legacy software is still the king and missing knowledge about the basic facts
267;Technically unfeasible requirements;Not enough communication and analysis 
355;Technically unfeasible requirements;new technology like BEV battery electric vehicles with a lot of challenges
387;Technically unfeasible requirements;System architecture not adequate
416;Technically unfeasible requirements;New tech, first ever done
758;Technically unfeasible requirements;Need interdiscplinary expertise lacking in the team
774;Technically unfeasible requirements;Product owner over promised 
830;Technically unfeasible requirements;customer had some strong ideas on HOW they wanted the solution but were eventually open to other suggestions once the implications of their proposed solution  (often a performance hit, or poor user experience) were explained.
847;Technically unfeasible requirements;Not enough technical involvement early on/prototyping
987;Technically unfeasible requirements;more time required
1080;Technically unfeasible requirements;The requests are thought in order to solve a problem at a time, without regard to strategically greater coverage of the solution. Then the cost is not worth the development.
1168;Technically unfeasible requirements;Client can request a technique or technology only because he believes or he / she heard that it was good, and it does not always apply properly to the project
1194;Technically unfeasible requirements;Business experts with lack of technical skills. Resolution times also mean sometimes unworkable.
1224;Technically unfeasible requirements;Key users are not involved
1225;Technically unfeasible requirements;That the system does everything
1266;Technically unfeasible requirements;Not all business processes have sufficient maturity to implement projects based on safety and operation standards
1296;Technically unfeasible requirements;Risky project goals
1327;Technically unfeasible requirements;Customer does not have always the technological know-how and it is hard to change his mind.
1339;Technically unfeasible requirements;Client expectations are contrary to the time estimated for the development
1358;Technically unfeasible requirements;Technical feasibility and technology are not taken into account
1359;Technically unfeasible requirements;LACK OF COMMUNICATION
1423;Technically unfeasible requirements;Technical validation of requirements
1542;Technically unfeasible requirements;1 platform leads to a common base of the functionality and asking for contradictory features to that communality only increases complexity and makes in many cases no real business case
1668;Technically unfeasible requirements;Different levels of detail
1670;Technically unfeasible requirements;Different levels of detail
1698;Technically unfeasible requirements;Unfeasible requirement
1699;Technically unfeasible requirements;No major problems have arisen
1703;Technically unfeasible requirements;The client presents requirements that are not necessary
1717;Technically unfeasible requirements;The client expectations with many resources
1727;Technically unfeasible requirements;Ambiguous REQUIREMENTS
1744;Technically unfeasible requirements;Same
1753;Technically unfeasible requirements;Physical limitations like bandwidth limitation, CPU-speeds/threading, heat in electronic components
1761;Technically unfeasible requirements;Prototyping vs build robust sustainable system
1820;Technically unfeasible requirements;poor specification
1911;Technically unfeasible requirements;Lack of notion of technical limitations
1933;Technically unfeasible requirements;challenges in the actual deployment
41;Terminological problems;Some people in the group have learned different ways of speaking in terms of software engineering and requirements analysis, which is making it difficult to properly document our project.
48;Terminological problems;Confusion with what the customer wants
76;Terminological problems;Specific usage of terms in context
81;Terminological problems;Cultural-language differences
93;Terminological problems;history
97;Terminological problems;Many undocumented abbreviations
106;Terminological problems;Lack of quality time
129;Terminological problems;Business used different terms to mean the same thing
182;Terminological problems;Software required
213;Terminological problems;Business use different terms in process and those are different from terms used in solutions
217;Terminological problems;lack of domain knowledge
230;Terminological problems;Many words get lost in translation and are difficult to decipher. 
231;Terminological problems;Inexperienced team members in RE
249;Terminological problems;Everyone comes from a different background
259;Terminological problems;misunderstand
268;Terminological problems;Goals in different teams are not clear
297;Terminological problems;Communication
304;Terminological problems;"staff turnover; communication  lazyness ; missing glossar"
313;Terminological problems;Separate existing methods of working at the customer and in own company mean we have different terms for similar concepts.
330;Terminological problems;Role taken by each stakeholder
341;Terminological problems;End customers use a non-technical terminology in another language
355;Terminological problems;new unexperienced team members
378;Terminological problems;missing project glossary
416;Terminological problems;New developers/testers
446;Terminological problems;waste of time
479;Terminological problems;"No glossary; The glossary is there but no one reads it; Glossary is to big"
523;Terminological problems;Lack of an analyst and a written document from a very poor shape
525;Terminological problems;Always a problem between project, cutomer ande the internal departments at the customer (e.g production and finance)
570;Terminological problems;lack of easy accessable, common definitions
586;Terminological problems;same word can have a differnt meaning 
626;Terminological problems;Inmature industry
786;Terminological problems;Makes the UI difficult to use.
819;Terminological problems;The client itself does not understand
879;Terminological problems;Names definition do not achieve the application goal.
900;Terminological problems;Different terminologies among customers from different business branches (energy, gas, ...)
947;Terminological problems;customers always want a solution yesterday
956;Terminological problems;NP
990;Terminological problems;Change of best practices during the project
1011;Terminological problems;Strongly varying technical backgrounds between customer and project team.
1017;Terminological problems;different teams using the same thing for different things
1021;Terminological problems;no expertise with customer business 
1055;Terminological problems;unusual application domain
1062;Terminological problems;No Arabic translation of the word
1065;Terminological problems;Project members have variety of backgrounds experiences and knowledge
1069;Terminological problems;cultural background 
1076;Terminological problems;Lack of knowledge of project control methods
1114;Terminological problems;Lack of concern of stakeholders.
1118;Terminological problems;Different levels of knowledge in the field
1161;Terminological problems;EXPERT USER IS NOT WELL TRAINED
1207;Terminological problems;meaning of the things gets vague
1266;Terminological problems;Change scenarios in sequential cascade of users.
1327;Terminological problems;Somtimes results are not htat good as expected - redesing is requestred.
1341;Terminological problems;They do not know technological terminology
1343;Terminological problems;Terminology not understood by the client
1344;Terminological problems;Problems with the terminology
1353;Terminological problems;CUSTOMER AND TEAM DO NOT agree
1356;Terminological problems;Unsatisfied CUSTOMER
1357;Terminological problems;Poor information by customer
1413;Terminological problems;The client does not master the terminology
1415;Terminological problems;The client does not know the terminology
1419;Terminological problems;Incomplete requirements
1422;Terminological problems;Implementation of poorly understood requirements
1424;Terminological problems;UNDERSPECIFIED REQUIREMENTS 
1426;Terminological problems;customer uses too many terms for the same things
1435;Terminological problems;Weather
1455;Terminological problems;Poor documentation in requirements engineering
1458;Terminological problems;Meeting in the directory, they do not understand technical terms
1466;Terminological problems;Some generic terms are heavily loaded with application-specific meaning in some circles.
1651;Terminological problems;Consistent jargon across different parts of the business
1699;Terminological problems;The tem is responsible for collecting requirements
1723;Terminological problems;Teams used in the project fails
1741;Terminological problems;Assumptions of same knowledge
1753;Terminological problems;Different technical knowledge of the domain (very experienced engineers talking to non technical stakeholders)
1756;Terminological problems;Requirements wording may be unequivocal for a business audience but not for a technical one
1759;Terminological problems;informal nature of the project
1761;Terminological problems;To get the project team to see the whole picture 
1810;Terminological problems;Different backgrounds for different team members
1844;Terminological problems;Not always the grammatical context between the client and the team is the same!
1941;Terminological problems;Perhaps the failure of a list of terms to use and their definitions
1957;Terminological problems;Lack of glossary
1962;Terminological problems;"Sometimes the team members are new and unfamiliar with business concepts;"
41;Time boxing / Not enough time in general;We've been given a very tight deadline with no recourse if not completed by the deadline
76;Time boxing / Not enough time in general;Management commitment irrespective of plan
97;Time boxing / Not enough time in general;Budget
118;Time boxing / Not enough time in general;many diferent projects at the same time
126;Time boxing / Not enough time in general;Cost reduction Limited staffed
129;Time boxing / Not enough time in general;Customer constraints
144;Time boxing / Not enough time in general;if team members are not 100% allocated to a project, they have a much harder time meeting their commitments to the team due to distractions and other assignments
149;Time boxing / Not enough time in general;organisational issues
150;Time boxing / Not enough time in general;Not enough time was allocated to requirements review with the vendor and solution design 
167;Time boxing / Not enough time in general;Communication
168;Time boxing / Not enough time in general;The project's unclear demands make the workload difficult to guage.
170;Time boxing / Not enough time in general;sprint too ambitious
199;Time boxing / Not enough time in general;Result in an imeatiate search for short-cuts
208;Time boxing / Not enough time in general;"too many iterations without reviewing/approving results; changing/swapping teams; overrun the budget long ago"
213;Time boxing / Not enough time in general;In our case business representatives requirements and tasks submission is delayed.
231;Time boxing / Not enough time in general;Immature organizational culture
239;Time boxing / Not enough time in general;There is overall not enough time and value for requirements in the company 
249;Time boxing / Not enough time in general;School projects have deadline in order to get grade
263;Time boxing / Not enough time in general;"Late start; weak processes; weak decission making; cultural resistance to change; complexity of project"
267;Time boxing / Not enough time in general;Planning mistakes 
268;Time boxing / Not enough time in general;Time overruns 
297;Time boxing / Not enough time in general;Project planning
310;Time boxing / Not enough time in general;budget not high enough for sufficient time
317;Time boxing / Not enough time in general;Supplier too optimistic. 
355;Time boxing / Not enough time in general;in general it means that we have not enough team members, specialists in RE
359;Time boxing / Not enough time in general;Schedule is too short.
364;Time boxing / Not enough time in general;"bad planning; not enough money for the project (time is money); can be done by the way"
365;Time boxing / Not enough time in general;"lack of upfront agile education for our customers; customer expects everything that they want to be delivered by a specific date"
370;Time boxing / Not enough time in general;time pressure to deliver solution as quick as possible as the market/business need it
377;Time boxing / Not enough time in general;Underestimating time requirements at the beginning of the project
387;Time boxing / Not enough time in general;Complexity of requirements is too high
393;Time boxing / Not enough time in general;fixed timelines before requirements analysis
416;Time boxing / Not enough time in general;HR-planning/ delayed test environments
427;Time boxing / Not enough time in general;A lot of features to implement before final delivery milestone
444;Time boxing / Not enough time in general;Times promised limit the scope and the cost, but we do not want to touch either of them.
446;Time boxing / Not enough time in general;frustration
461;Time boxing / Not enough time in general;management policies, budget
467;Time boxing / Not enough time in general;both the team and the client, sometimes do not understand the importance of devoting more time to specific activities, but which make the project take a little longer for the sake of obtaining a better result
468;Time boxing / Not enough time in general;Customer always wants everything done as soon as possible. They do not understand the technical difficulty of solving the problems.
485;Time boxing / Not enough time in general;It is always required to cover as much as possible.
489;Time boxing / Not enough time in general;itself
511;Time boxing / Not enough time in general;Moving targets
518;Time boxing / Not enough time in general;Ridiculously short deadlines
524;Time boxing / Not enough time in general;"The organization has a lack of commitment to invest in the process; all people is always busy"
525;Time boxing / Not enough time in general;"Unrealistic time setting of the projects;lack of resources over time"
545;Time boxing / Not enough time in general;market
549;Time boxing / Not enough time in general;Small company so pressure always to progress, support on previous projects taking staff/time away from current project
570;Time boxing / Not enough time in general;availability of (critical) resources, long wish list
637;Time boxing / Not enough time in general;A delayed project that had to deliver.
640;Time boxing / Not enough time in general;"scheduling pressures; other client projects being delayed"
649;Time boxing / Not enough time in general;unrealistic expectations
663;Time boxing / Not enough time in general;Rising preasure of digitalisation
694;Time boxing / Not enough time in general;"sales promising too much to get a deal ; client wanting something faster even if doing that is not adviced"
735;Time boxing / Not enough time in general;time management with other projects
768;Time boxing / Not enough time in general;underestimated effort and project timeline
795;Time boxing / Not enough time in general;"Overpromised delivery dates/scopes ; Poor leadership within our company ; inability to say No"
819;Time boxing / Not enough time in general;Lack of planning
830;Time boxing / Not enough time in general;project had a tight timeframe, strong interdependencies on BA deliverables and handover
845;Time boxing / Not enough time in general;Deadline due to decommissiong of old system
851;Time boxing / Not enough time in general;the deadlines are often high when iterations are used since a final versionis obtained, customer wants more functions or unacceptable terms
865;Time boxing / Not enough time in general;"Lack of planning; Changing Managers"
880;Time boxing / Not enough time in general;Planning.
901;Time boxing / Not enough time in general;The customer takes long to respond but the [overall available] time does not change, becoming insufficient
909;Time boxing / Not enough time in general;Error in the estimates and deadlines set by the management according to the company and market strategies
910;Time boxing / Not enough time in general;excessive requests from other projects
912;Time boxing / Not enough time in general;Customer and information access is limited by time typically.
918;Time boxing / Not enough time in general;Contract closed with a time discrepancy with reality.
923;Time boxing / Not enough time in general;productive capability is restricted for lack of resources
928;Time boxing / Not enough time in general;The need for the company to release the new version of the products to market as soon as possible.
929;Time boxing / Not enough time in general;Urgency for results
933;Time boxing / Not enough time in general;"Tight deadlines;"
937;Time boxing / Not enough time in general;Too many projects, no new employees
947;Time boxing / Not enough time in general;customers always try to push the price
956;Time boxing / Not enough time in general;NP
958;Time boxing / Not enough time in general;Contract requires deliveries every 3 weeks and sometimes time is not enough to detail the requirements.
959;Time boxing / Not enough time in general;In some cases the term is not determined by the team but by an external factor.
968;Time boxing / Not enough time in general;The requests are usually timeless and come together
980;Time boxing / Not enough time in general;Too many concurrent projects 
984;Time boxing / Not enough time in general;Lack of resources and moving targets
997;Time boxing / Not enough time in general;time to a demanding market
1010;Time boxing / Not enough time in general;underestimation
1012;Time boxing / Not enough time in general;The goals are being comprimized during the project.
1014;Time boxing / Not enough time in general;costs
1031;Time boxing / Not enough time in general;Underestimation of time-consuming tasks
1065;Time boxing / Not enough time in general;Weak planing of stakeholders
1079;Time boxing / Not enough time in general;several projects
1082;Time boxing / Not enough time in general;Formal processes take a long time
1111;Time boxing / Not enough time in general;Deadlines are normally imposed
1114;Time boxing / Not enough time in general;Many requests / little resources.
1122;Time boxing / Not enough time in general;Project starts with delivery dates already established, without the basic knowledge about what is needed for it, causing us try to do what can be executed within the time available, and not everyting that is necessary to be done.
1139;Time boxing / Not enough time in general;Project start delayed
1141;Time boxing / Not enough time in general;unrealistic project plan
1163;Time boxing / Not enough time in general;The project is too large
1167;Time boxing / Not enough time in general;Bad estimation
1221;Time boxing / Not enough time in general;Unplanned requirements elicitation meetings
1238;Time boxing / Not enough time in general;Lack of resources and deadlines very bounded
1262;Time boxing / Not enough time in general;Wrong estimates
1273;Time boxing / Not enough time in general;late requirements, ressouce problem
1275;Time boxing / Not enough time in general;Organization
1279;Time boxing / Not enough time in general;Too many ideas to implement within time expectations
1288;Time boxing / Not enough time in general;"bad requironment; management expections"
1289;Time boxing / Not enough time in general;Budgets and the fact customer makes in forefront requirements engineering
1291;Time boxing / Not enough time in general;Complete development of a new product in a small timeframe
1321;Time boxing / Not enough time in general;Many mistakes to correct and little time to improve.
1327;Time boxing / Not enough time in general;Customer specifies to many requirements at once and cannot imagine how much time will be needed for implementation.
1347;Time boxing / Not enough time in general;fixed dates for product launch
1356;Time boxing / Not enough time in general;There is little confidence between the client and the developer
1384;Time boxing / Not enough time in general;the client takes long to approve the filed work and shortens the remaining time schedule
1403;Time boxing / Not enough time in general;"poor project management; unrealistic milestones"
1406;Time boxing / Not enough time in general;Many projects / tasks
1411;Time boxing / Not enough time in general;achieve a good time to market
1417;Time boxing / Not enough time in general;Lack of good relationships between the team
1423;Time boxing / Not enough time in general;COMMUNICATION WITH THE DEVELOPER
1426;Time boxing / Not enough time in general;project planning is done by setting the final deadline, then planning in detail
1433;Time boxing / Not enough time in general;A wrong contract
1435;Time boxing / Not enough time in general;INSUFFICIENT PERSONAL IN MANY PROJECTS
1455;Time boxing / Not enough time in general;Bad requirements definition and moving targets
1458;Time boxing / Not enough time in general;RAISES AN ESTIMATED TIME IS AND NO STUDIED.
1459;Time boxing / Not enough time in general;ALL IS DONE AT LAST MOMENT
1466;Time boxing / Not enough time in general;Senior management doesn't understand or value the process and work required for top quality.
1486;Time boxing / Not enough time in general;Funding
1542;Time boxing / Not enough time in general;1 development team (per area) and 1 platform for at least4 business units that are not aligned, and everybody wants everything by yesterday 
1618;Time boxing / Not enough time in general;This results in features that don't fully meet the customer needs, weaker quality or missed dates. 
1620;Time boxing / Not enough time in general;Sometimes account managers and sales may not be realistic with their timelines promised to customers.  
1621;Time boxing / Not enough time in general;Product owner only reactionary, not planning ahead
1663;Time boxing / Not enough time in general;underestimating the effort required, lack of commitment from the top management
1669;Time boxing / Not enough time in general;Poor requirements elicitation
1676;Time boxing / Not enough time in general;our customers (eg developers) want something  now , which forces us to timebox other tasks and come back at a later time.
1690;Time boxing / Not enough time in general;Project leader doesn't have priorities and clear times
1697;Time boxing / Not enough time in general;Some features have very high importance to the customer and are not started in time.
1703;Time boxing / Not enough time in general;Many changes in a short time
1717;Time boxing / Not enough time in general;There is no planning
1718;Time boxing / Not enough time in general;"A lot of requirements to address; Poorly specified requirements results in long discussions about what the requirements actually are"
1741;Time boxing / Not enough time in general;Changes in laws
1751;Time boxing / Not enough time in general;Wrong time estimation
1753;Time boxing / Not enough time in general;"Time = money - and we have a budget. Also; Some functionality have a window of delivery (which must be met)"
1755;Time boxing / Not enough time in general;Stressed
1761;Time boxing / Not enough time in general;Things take time 
1804;Time boxing / Not enough time in general;Not enoughTeam Collaboration
1812;Time boxing / Not enough time in general;customer wants everthing right now - problem with scoping
1840;Time boxing / Not enough time in general;Time is critical for the go live
1842;Time boxing / Not enough time in general;Time-to-market aggressive
1844;Time boxing / Not enough time in general;very tight time
1849;Time boxing / Not enough time in general;Bad planning
1894;Time boxing / Not enough time in general;normal business pressure for fast delivery of results
1909;Time boxing / Not enough time in general;Inability to manage customer expectations
1911;Time boxing / Not enough time in general;Lack of notion between the requirement and the technical solution
1917;Time boxing / Not enough time in general;insufficient planning
1918;Time boxing / Not enough time in general;Lack of resources.
1923;Time boxing / Not enough time in general;The client thinks everything is urgent, difficulty in establishing priorities
1929;Time boxing / Not enough time in general;Lack of resources
1941;Time boxing / Not enough time in general;Too much work for the size of the team
1962;Time boxing / Not enough time in general;Ambition always higher than the actual capacity of the team
1963;Time boxing / Not enough time in general;x
1965;Time boxing / Not enough time in general;Due to constraints to the budget approved for the project
41;Unclear / unmeasurable non-functional requirements;It is difficult to measure usability without lots of beta testing, which we do not have the means to do at this time
93;Unclear / unmeasurable non-functional requirements;"lack of knowledge; general dissatisfaction"
120;Unclear / unmeasurable non-functional requirements;Lack of precise knowledge on operations
126;Unclear / unmeasurable non-functional requirements;Lack of product dev knowledge
129;Unclear / unmeasurable non-functional requirements;Poor understanding of need
144;Unclear / unmeasurable non-functional requirements;"customers don't usually want to discuss non-functional requirements; customers have great difficulty defining measurements for non-functional requirements"
170;Unclear / unmeasurable non-functional requirements;not enough documentation
210;Unclear / unmeasurable non-functional requirements;requirements are taken well
